Date,dsp_toxins_Berbigão,asp_toxins_Berbigão,psp_toxins_Berbigão,dsp_toxins_Mexilhão,asp_toxins_Mexilhão,psp_toxins_Mexilhão
2019-10-06,629.0,1.8,71.0,550.0,1.8,71.0
2019-10-13,483.0,1.8,71.0,550.0,1.8,71.0
2019-10-20,,,,550.0,,
2019-10-27,465.0,1.8,71.0,550.0,1.8,71.0
2019-11-03,154.0,1.8,71.0,550.0,1.8,71.0
2019-11-10,223.0,1.8,71.0,550.0,1.8,71.0
2019-11-17,36.0,1.8,71.0,570.0,,
2019-11-24,36.0,1.8,71.0,590.0,1.8,
2019-12-01,36.0,1.8,,123.0,1.8,
2019-12-08,36.0,1.8,,514.0,1.8,
2019-12-15,36.0,1.8,,131.0,1.8,
2019-12-22,36.0,1.8,,198.0,1.8,
2019-12-29,36.0,1.8,,166.0,1.8,
2020-01-05,,,,132.0,,
2020-01-12,36.0,1.8,,98.0,,
2020-01-19,36.0,,,64.0,1.8,
2020-01-26,,,,43.0,1.8,
2020-02-02,36.0,1.8,,50.0,1.8,
2020-02-09,36.0,1.8,,155.0,1.8,
2020-02-16,152.0,1.8,,581.0,1.8,
2020-02-23,340.0,1.8,,352.0,1.8,
2020-03-01,153.0,1.8,,140.0,1.8,
2020-03-08,36.0,1.8,71.0,193.0,1.8,71.0
2020-03-15,66.0,1.8,71.0,268.0,1.8,71.0
2020-03-22,36.0,1.8,71.0,208.0,,
2020-03-29,63.0,1.8,71.0,148.0,1.8,71.0
2020-04-05,36.0,1.8,71.0,123.0,1.8,71.0
2020-04-12,36.0,13.0,71.0,98.0,6.0,71.0
2020-04-19,36.0,1.8,71.0,100.0,1.8,71.0
2020-04-26,58.0,1.8,,36.0,1.8,71.0
2020-05-03,36.0,1.8,71.0,113.0,1.8,71.0
2020-05-10,550.0,1.8,71.0,550.0,1.8,71.0
2020-05-17,,,,550.0,1.8,71.0
2020-05-24,153.0,1.8,71.0,550.0,1.8,71.0
2020-05-31,185.0,1.8,71.0,445.0,1.8,71.0
2020-06-07,77.0,1.8,71.0,153.0,1.8,71.0
2020-06-14,247.0,2.2,71.0,280.0,,71.0
2020-06-21,74.0,1.8,71.0,264.5,,
2020-06-28,30.0,1.8,71.0,249.0,1.8,71.0
2020-07-05,228.0,1.8,71.0,323.0,1.8,71.0
2020-07-12,199.0,5.0,71.0,284.0,1.8,71.0
2020-07-19,36.0,7.0,71.0,280.0,2.0,71.0
2020-07-26,82.0,16.0,,513.0,6.0,
2020-08-02,190.0,1.8,,297.0,1.8,71.0
2020-08-09,169.0,1.8,,303.875,,
2020-08-16,,,,310.75,,
2020-08-23,203.0,1.8,,317.625,,
2020-08-30,36.0,1.8,,324.5,,
2020-09-06,312.0,1.8,,331.375,,
2020-09-13,165.0,1.8,,338.25,,
2020-09-20,327.0,1.8,71.0,345.125,,
2020-09-27,220.0,1.8,71.0,352.0,1.8,71.0
2020-10-04,63.0,1.8,71.0,352.0,1.8,71.0
2020-10-11,94.0,1.8,,352.0,1.8,
2020-10-18,,,,422.0,1.8,71.0
2020-10-25,36.0,1.8,,323.0,,
2020-11-01,58.0,1.8,,371.0,,
2020-11-08,12.0,1.8,,52.0,,
2020-11-15,79.0,1.8,,149.0,,
2020-11-22,222.0,1.8,,295.0,,
2020-11-29,76.0,1.8,,270.0,,
2020-12-06,36.0,1.8,,245.0,,
2020-12-13,36.0,1.8,,220.0,,
2020-12-20,36.0,1.8,71.0,195.0,,
2020-12-27,36.0,1.8,,195.0,,
2021-01-03,36.0,,71.0,195.0,,
